Total ETFs: 1000
  [9/50] COYY... 187 rows
  [9/50] COZX... 117 rows
  [9/50] CPAG... 177 rows
  [9/50] CPAI... 501 rows
  [9/50] CPER... 501 rows
  [9/50] CPHY... 177 rows
  [9/50] CPII... 501 rows
  [9/50] CPLB... 501 rows
  [9/50] CPLS... 501 rows
  [9/50] CPNJ... 475 rows
  [9/50] CPNM... 289 rows
  -> Inserted 7199 rows (9/50 batches, 207s elapsed)
  [10/50] CPNQ... 349 rows
  [10/50] CPNS... 412 rows
  [10/50] CPRA... 268 rows
  [10/50] CPRJ... 456 rows
  [10/50] CPRO... 392 rows
  [10/50] CPRY... 328 rows
  [10/50] CPSA... 434 rows
  [10/50] CPSD... 349 rows
  [10/50] CPSF... 308 rows
  [10/50] CPSJ... 456 rows
  [10/50] CPSL... 408 rows
  [10/50] CPSM... 497 rows
  [10/50] CPSN... 369 rows
  [10/50] CPSO... 392 rows
  [10/50] CPSP... 268 rows
  [10/50] CPSR... 289 rows
  [10/50] CPST... 412 rows
  [10/50] CPSU... 226 rows
  [10/50] CPSY... 328 rows
  [10/50] CPXR... 316 rows
  -> Inserted 7257 rows (10/50 batches, 227s elapsed)
  [11/50] CQQQ... 501 rows
  [11/50] CRAK... 501 rows
  [11/50] CRBN... 501 rows
  [11/50] CRCD... 145 rows
  [11/50] CRCG... 178 rows
  [11/50] CRDD... 17 rows
  [11/50] CRDT... 501 rows
  [11/50] CRDU... 153 rows
  [11/50] CRDX... 17 rows
  [11/50] CRED... 501 rows
  [11/50] CRMG... 265 rows
  [11/50] CRMU... 52 rows
  [11/50] CRMX... 71 rows
  [11/50] CRPT... 501 rows
  [11/50] CRSH... 496 rows
  [11/50] CRTC... 501 rows
  [11/50] CRUX... 29 rows
  [11/50] CRWG... 178 rows
  [11/50] CRWL... 362 rows
  [11/50] CRWU... 188 rows
  -> Inserted 5658 rows (11/50 batches, 248s elapsed)
  [12/50] CSB... 501 rows
  [12/50] CSCL... 210 rows
  [12/50] CSCS... 210 rows
  [12/50] CSD... 501 rows
  [12/50] CSEX... 111 rows
  [12/50] CSHI... 502 rows
  [12/50] CSHP... 434 rows
  [12/50] CSM... 501 rows
  [12/50] CSMD... 501 rows
  [12/50] CSNR... 306 rows
  [12/50] CSPF... 306 rows
  [12/50] CSRE... 306 rows
  [12/50] CSTK... 243 rows
  [12/50] CTA... 501 rows
  [12/50] CTEC... 501 rows
  [12/50] CTEF... 214 rows
  [12/50] CTEX... 501 rows
  [12/50] CTIF... 210 rows
  [12/50] CTWO... 213 rows
  [12/50] CURE... 501 rows
  INSERT ERROR for CSHI: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 6773 rows (12/50 batches, 269s elapsed)
  [13/50] CUSD... 501 rows
  [13/50] CUT... 501 rows
  [13/50] CVAR... 501 rows
  [13/50] CVIE... 501 rows
  [13/50] CVLC... 501 rows
  [13/50] CVMC... 501 rows
  [13/50] CVNX... 228 rows
  [13/50] CVNY... 309 rows
  [13/50] CVRD... 501 rows
  [13/50] CVRT... 501 rows
  [13/50] CVSB... 501 rows
  [13/50] CVY... 501 rows
  [13/50] CWB... 501 rows
  [13/50] CWEB... 501 rows
  [13/50] CWI... 501 rows
  [13/50] CWII... 118 rows
  [13/50] CWS... 501 rows
  [13/50] CWVX... 199 rows
  [13/50] CWY... 8 rows
  [13/50] CXRN... 294 rows
  -> Inserted 8170 rows (13/50 batches, 293s elapsed)
  [14/50] CXSE... 501 rows
  [14/50] CZA... 501 rows
  [14/50] CZAR... 501 rows
  [14/50] DABS... 288 rows
  [14/50] DADS... 181 rows
  [14/50] DAK... 186 rows
  [14/50] DALI... 501 rows
  [14/50] DANA... 98 rows
  [14/50] DAPP... 501 rows
  [14/50] DAPR... 501 rows
  [14/50] DARP... 501 rows
  [14/50] DAT... 501 rows
  [14/50] DAUG... 501 rows
  [14/50] DAX... 501 rows
  [14/50] DBA... 501 rows
  [14/50] DBAW... 501 rows
  [14/50] DBB... 501 rows
  [14/50] DBC... 501 rows
  [14/50] DBE... 501 rows
  [14/50] DBEF... 501 rows
  -> Inserted 8769 rows (14/50 batches, 317s elapsed)
  [15/50] DBEM... 501 rows
  [15/50] DBEU... 501 rows
  [15/50] DBEZ... 501 rows
  [15/50] DBJP... 501 rows
  [15/50] DBMF... 501 rows
  [15/50] DBND... 501 rows
  [15/50] DBO... 501 rows
  [15/50] DBP... 501 rows
  [15/50] DBSC... 89 rows
  [15/50] DCMT... 501 rows
  [15/50] DCOR... 501 rows
  [15/50] DCRE... 501 rows
  [15/50] DDEC... 501 rows
  [15/50] DDFA... 17 rows
  [15/50] DDFD... 99 rows
  [15/50] DDFF... 58 rows
  [15/50] DDFJ... 78 rows
  [15/50] DDFL... 206 rows
  [15/50] DDFM... 39 rows
  [15/50] DDFN... 119 rows
  -> Inserted 6717 rows (15/50 batches, 340s elapsed)
  [16/50] DDFO... 142 rows
  [16/50] DDFS... 163 rows
  [16/50] DDIV... 501 rows
  [16/50] DDLS... 501 rows
  [16/50] DDM... 501 rows
  [16/50] DDNQ... 78 rows
  [16/50] DDSQ... 78 rows
  [16/50] DDTA... 17 rows
  [16/50] DDTD... 99 rows
  [16/50] DDTF... 58 rows
  [16/50] DDTJ... 78 rows
  [16/50] DDTL... 206 rows
  [16/50] DDTM... 39 rows
  [16/50] DDTN... 119 rows
  [16/50] DDTO... 142 rows
  [16/50] DDTS... 163 rows
  [16/50] DDV... 111 rows
  [16/50] DDWM... 501 rows
  [16/50] DDX... 501 rows
  [16/50] DDXX... 111 rows
  -> Inserted 4109 rows (16/50 batches, 360s elapsed)
  [17/50] DECM... 334 rows
  [17/50] DECO... 407 rows
  [17/50] DECP... 467 rows
  [17/50] DECT... 501 rows
  [17/50] DECU... 349 rows
  [17/50] DECW... 501 rows
  [17/50] DECZ... 501 rows
  [17/50] DEED... 501 rows
  [17/50] DEEF... 501 rows
  [17/50] DEEP... 501 rows
  [17/50] DEFI... 501 rows
  [17/50] DEFR... 238 rows
  [17/50] DEHP... 501 rows
  [17/50] DEM... 501 rows
  [17/50] DEMZ... 501 rows
  [17/50] DES... 502 rows
  [17/50] DESK... 501 rows
  [17/50] DEUS... 501 rows
  [17/50] DEW... 501 rows
  [17/50] DEXC... 360 rows
  INSERT ERROR for DES: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 8670 rows (17/50 batches, 384s elapsed)
  [18/50] DFAC... 501 rows
  [18/50] DFAE... 501 rows
  [18/50] DFAI... 501 rows
  [18/50] DFAR... 501 rows
  [18/50] DFAS... 501 rows
  [18/50] DFAT... 501 rows
  [18/50] DFAU... 501 rows
  [18/50] DFAW... 501 rows
  [18/50] DFAX... 501 rows
  [18/50] DFCA... 501 rows
  [18/50] DFCF... 501 rows
  [18/50] DFE... 501 rows
  [18/50] DFEB... 501 rows
  [18/50] DFEM... 501 rows
  [18/50] DFEN... 501 rows
  [18/50] DFEV... 501 rows
  [18/50] DFGP... 501 rows
  [18/50] DFGR... 501 rows
  [18/50] DFGX... 501 rows
  [18/50] DFIC... 501 rows
  -> Inserted 10020 rows (18/50 batches, 410s elapsed)
  [19/50] DFII... 266 rows
  [19/50] DFIP... 501 rows
