
ETF Sparkline Backfill
  Supabase: https://oqkobptbvcazifpvjwfz.supabase.co
  Period: 2y | Interval: 1d
  Batch size: 20 | Fetch delay: 0.5s

Found 1000 ETFs in foreign_etfs table

  [8/50] COMB... 502 rows ✓
  [8/50] COMD... 49 rows ✓
  [8/50] COMT... 502 rows ✓
  [8/50] CONI... 409 rows ✓
  [8/50] CONL... 502 rows ✓
  [8/50] CONX... 105 rows ✓
  [8/50] CONY... 502 rows ✓
  [8/50] COPA... 395 rows ✓
  [8/50] COPJ... 502 rows ✓
  [8/50] COPP... 502 rows ✓
  [8/50] COPX... 502 rows ✓
  [8/50] COPY... 329 rows ✓
  [8/50] CORB... 112 rows ✓
  → Inserted 6929 rows into foreign_etf_prices

  [9/50] CORD... 143 rows ✓
  [9/50] CORN... 502 rows ✓
  [9/50] CORO... 343 rows ✓
  [9/50] CORP... 502 rows ✓
  [9/50] COSW... 124 rows ✓
  [9/50] COTG... 149 rows ✓
  [9/50] COWG... 502 rows ✓
  [9/50] COWS... 502 rows ✓
  [9/50] COWZ... 502 rows ✓
  [9/50] COYY... 185 rows ✓
  [9/50] COZX... 115 rows ✓
  [9/50] CPAG... 175 rows ✓
  [9/50] CPAI... 502 rows ✓
  [9/50] CPER... 502 rows ✓
  [9/50] CPHY... 175 rows ✓
  [9/50] CPII... 501 rows ✓
  [9/50] CPLB... 502 rows ✓
  [9/50] CPLS... 502 rows ✓
  [9/50] CPNJ... 473 rows ✓
  [9/50] CPNM... 287 rows ✓
  → Inserted 7188 rows into foreign_etf_prices

  [10/50] CPNQ... 347 rows ✓
  [10/50] CPNS... 410 rows ✓
  [10/50] CPRA... 266 rows ✓
  [10/50] CPRJ... 454 rows ✓
  [10/50] CPRO... 390 rows ✓
  [10/50] CPRY... 326 rows ✓
  [10/50] CPSA... 432 rows ✓
  [10/50] CPSD... 347 rows ✓
  [10/50] CPSF... 306 rows ✓
  [10/50] CPSJ... 454 rows ✓
  [10/50] CPSL... 406 rows ✓
  [10/50] CPSM... 495 rows ✓
  [10/50] CPSN... 367 rows ✓
  [10/50] CPSO... 390 rows ✓
  [10/50] CPSP... 266 rows ✓
  [10/50] CPSR... 287 rows ✓
  [10/50] CPST... 410 rows ✓
  [10/50] CPSU... 224 rows ✓
  [10/50] CPSY... 326 rows ✓
  [10/50] CPXR... 314 rows ✓
  → Inserted 7217 rows into foreign_etf_prices

  [11/50] CQQQ... 502 rows ✓
  [11/50] CRAK... 502 rows ✓
  [11/50] CRBN... 502 rows ✓
  [11/50] CRCD... 143 rows ✓
  [11/50] CRCG... 176 rows ✓
  [11/50] CRDD... 15 rows ✓
  [11/50] CRDT... 502 rows ✓
  [11/50] CRDU... 151 rows ✓
  [11/50] CRDX... 15 rows ✓
  [11/50] CRED... 502 rows ✓
  [11/50] CRMG... 263 rows ✓
  [11/50] CRMU... 50 rows ✓
  [11/50] CRMX... 69 rows ✓
  [11/50] CRPT... 502 rows ✓
  [11/50] CRSH... 494 rows ✓
  [11/50] CRTC... 502 rows ✓
  [11/50] CRUX... 27 rows ✓
  [11/50] CRWG... 176 rows ✓
  [11/50] CRWL... 360 rows ✓
  [11/50] CRWU... 186 rows ✓
  → Inserted 5639 rows into foreign_etf_prices

  [12/50] CSB... 502 rows ✓
  [12/50] CSCL... 208 rows ✓
  [12/50] CSCS... 208 rows ✓
  [12/50] CSD... 502 rows ✓
  [12/50] CSEX... 109 rows ✓
  [12/50] CSHI... 502 rows ✓
  [12/50] CSHP... 432 rows ✓
  [12/50] CSM... 502 rows ✓
  [12/50] CSMD... 502 rows ✓
  [12/50] CSNR... 304 rows ✓
  [12/50] CSPF... 304 rows ✓
  [12/50] CSRE... 304 rows ✓
  [12/50] CSTK... 241 rows ✓
  [12/50] CTA... 502 rows ✓
